cluster_id	Amplitude
0	10.4
1	9.8
2	10.2
3	17.0
4	16.7
5	8.4
6	17.0
7	12.8
8	10.0
9	10.1
10	10.2
11	9.8
12	9.9
13	13.3
14	9.9
15	10.6
16	8.1
17	13.1
18	15.9
19	10.7
20	13.0
21	20.8
22	11.8
23	9.8
24	10.4
25	11.9
26	9.3
27	9.8
28	9.2
29	12.5
30	13.9
31	10.1
32	18.1
33	9.7
34	9.9
35	10.2
36	11.0
37	9.5
38	10.0
39	10.2
40	12.3
41	10.5
42	7.4
43	12.7
44	10.7
45	11.1
46	11.3
47	11.2
48	14.3
49	9.4
50	13.4
51	14.0
52	9.8
53	6.0
54	9.8
55	10.4
56	12.2
57	10.6
58	10.4
59	9.9
60	7.8
61	11.1
62	10.5
63	15.1
64	6.4
65	9.3
66	9.7
67	7.0
68	13.0
69	13.9
70	10.2
71	10.5
72	10.1
73	10.3
74	8.8
75	7.6
