cluster_id	KSLabel
0	good
1	good
2	mua
3	mua
4	mua
5	mua
6	good
7	good
8	good
9	mua
10	good
11	mua
12	good
13	mua
14	good
15	mua
16	mua
17	good
18	mua
19	mua
20	good
21	good
22	mua
23	mua
24	mua
25	good
26	good
27	mua
28	mua
29	good
30	good
31	good
32	good
33	mua
34	mua
35	good
36	good
37	mua
38	mua
39	mua
40	mua
41	mua
42	good
43	mua
44	mua
45	good
46	good
47	mua
48	mua
49	good
50	good
51	good
52	good
53	mua
54	good
55	good
56	mua
57	mua
58	mua
59	mua
60	mua
61	mua
62	mua
63	mua
64	mua
65	mua
66	good
67	mua
68	mua
69	mua
70	good
71	mua
72	good
73	mua
74	good
75	good
